participant_id,gender,age,race_ethnicity,education_level,poverty_income_ratio,interview_sample_weight,exam_sample_weight,strata,psu,interview_sample_weight_missing,pir_category
130378,Male,43,Non-Hispanic Asian,College graduate or above,5.0,50055.450807,54374.463898,173.0,2.0,False,Very High
130379,Male,66,Non-Hispanic White,College graduate or above,5.0,29087.450605,34084.721548,173.0,2.0,False,Very High
130380,Female,44,Other Hispanic,High school/GED,1.41,80062.674301,81196.277992,174.0,1.0,False,Mid
130386,Male,34,Mexican American,Some college/AA degree,1.33,30995.28261,39988.45294,179.0,1.0,False,Mid
130387,Female,68,Non-Hispanic White,College graduate or above,1.32,19896.970559,20776.25485,181.0,1.0,False,Mid
130388,Female,27,Non-Hispanic Black,Some college/AA degree,0.81,22234.443573,30329.536432,187.0,1.0,False,Low
130389,Male,59,Non-Hispanic White,College graduate or above,5.0,28876.535038,38984.867724,174.0,2.0,False,Very High
130390,Female,31,Non-Hispanic White,High school/GED,2.16,36895.283578,56314.156949,185.0,2.0,False,High
130391,Female,33,Non-Hispanic White,High school/GED,0.93,45423.073281,60330.824308,186.0,2.0,False,Low
130392,Female,74,Non-Hispanic White,College graduate or above,3.04,25064.248864,29427.77471,174.0,1.0,False,High
130393,Male,39,Non-Hispanic White,College graduate or above,5.0,42592.623526,55085.707641,178.0,2.0,False,Very High
130394,Male,51,Non-Hispanic White,College graduate or above,5.0,41925.463225,51305.02443,174.0,2.0,False,Very High
130395,Female,33,Other/Multi-Racial,High school/GED,1.1,18277.659785,21603.418111,173.0,1.0,False,Mid
130396,Female,56,Non-Hispanic White,Some college/AA degree,4.82,35881.967808,43795.713228,184.0,1.0,False,High
130397,Female,67,Non-Hispanic White,High school/GED,4.48,32394.280442,38037.401303,179.0,2.0,False,High
130398,Male,47,Mexican American,High school/GED,1.67,34222.584741,62720.642273,181.0,1.0,False,Mid
130399,Male,68,Non-Hispanic White,College graduate or above,5.0,34222.442185,43156.698786,182.0,2.0,False,Very High
130400,Male,26,Other Hispanic,High school/GED,0.91,113868.986796,173951.062176,176.0,2.0,False,Low
130402,Female,26,Non-Hispanic White,College graduate or above,5.0,20598.507232,42359.330353,181.0,2.0,False,Very High
130404,Female,73,Non-Hispanic White,Some college/AA degree,4.42,22090.179411,26881.750686,186.0,2.0,False,High
130406,Female,26,Non-Hispanic White,High school/GED,3.22,75357.121415,90097.053524,178.0,2.0,False,High
130407,Female,73,Non-Hispanic White,College graduate or above,4.37,14904.977067,17210.974191,179.0,2.0,False,High
130408,Male,80,Non-Hispanic Black,9-11th grade,1.02,13054.676365,19536.581701,176.0,1.0,False,Mid
130409,Male,68,Non-Hispanic White,Some college/AA degree,3.14,47474.348019,59547.432691,184.0,1.0,False,High
130413,Female,67,Other Hispanic,9-11th grade,0.05,13060.495895,18187.080889,183.0,1.0,False,Low
130415,Female,61,Non-Hispanic Black,High school/GED,0.11,27873.06571,39547.472196,187.0,1.0,False,Low
130416,Female,59,Other Hispanic,High school/GED,1.44,10695.175526,13043.792903,183.0,2.0,False,Mid
130418,Male,53,Non-Hispanic White,High school/GED,0.2,48271.226688,60572.007928,184.0,2.0,False,Low
